,Unnamed: 0,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,0,5,Dyson,45.0,K,2.0
2,2,11,Beko,44.0,K,2.0
3,3,10,Electrolux,40.0,bd.,2.0
4,4,5,Electrolux,62.0,K,2.5
5,5,3,Samsung,39.0,bd.,4.0
7,7,9,Beko,44.0,bd.,1.0
8,8,7,Tefal,39.0,K,2.5
9,9,8,Beko,39.0,K,2.5
10,10,6,Tefal,40.0,K,2.0
12,12,4,Electrolux,37.0,M,2.0
13,13,13,Dyson,18.0,M,4.5
14,14,10,Beko,30.0,K,4.0
15,15,8,Dyson,48.0,bd.,2.5
16,16,7,Dyson,42.0,K,4.0
17,17,9,Electrolux,35.0,K,1.0
18,18,2,Tefal,42.0,K,1.5
19,19,8,Dyson,31.0,K,0.0
21,21,8,Electrolux,27.0,K,2.0
22,22,7,Electrolux,40.0,M,2.0
23,23,1,Electrolux,24.0,K,3.5
24,24,7,Electrolux,52.0,bd.,2.5
25,25,8,Beko,25.0,bd.,2.0
26,26,9,Beko,33.0,M,2.5
27,27,10,Dyson,38.0,K,2.5
28,28,4,Beko,48.0,K,2.5
29,29,13,Beko,19.0,K,3.5
30,30,8,Beko,36.0,bd.,1.5
31,31,6,Beko,38.0,K,0.0
32,32,10,Dyson,45.0,bd.,3.0
33,33,6,Beko,36.0,K,1.5
34,34,6,Dyson,36.0,M,3.0
35,35,5,Beko,44.0,bd.,1.0
36,36,8,Dyson,48.0,K,1.0
37,37,6,Beko,20.0,K,2.0
38,38,7,Beko,55.0,M,1.5
39,39,11,Samsung,43.0,K,4.0
40,40,6,Electrolux,45.0,K,3.5
41,41,6,Dyson,45.0,K,3.5
42,42,9,Beko,28.0,bd.,1.5
43,43,6,Beko,46.0,M,4.0
44,44,7,Electrolux,52.0,bd.,4.0
46,46,7,Beko,35.0,M,1.5
47,47,4,Electrolux,36.0,K,3.0
48,48,6,Electrolux,45.0,bd.,2.5
49,49,5,Dyson,29.0,bd.,4.0
51,51,7,Samsung,57.0,K,2.5
52,52,8,Beko,52.0,K,1.0
53,53,8,Samsung,34.0,K,3.5
55,55,7,Dyson,39.0,K,2.5
56,56,7,Electrolux,47.0,bd.,0.5
57,57,5,Dyson,37.0,K,4.0
58,58,6,Tefal,35.0,K,1.0
59,59,7,Electrolux,29.0,bd.,3.0
60,60,6,Beko,35.0,K,3.5
61,61,3,Dyson,47.0,bd.,3.0
62,62,5,Beko,29.0,bd.,2.5
63,63,6,Beko,39.0,bd.,2.5
64,64,11,Beko,32.0,M,4.5
66,66,12,Electrolux,49.0,K,0.0
67,67,9,Dyson,56.0,M,2.5
69,69,3,Electrolux,51.0,bd.,3.0
70,70,9,Tefal,56.0,K,2.0
71,71,5,Beko,34.0,K,1.5
72,72,7,Tefal,42.0,M,4.0
73,73,8,Dyson,33.0,M,2.0
74,74,9,Dyson,38.0,K,2.0
75,75,7,Dyson,46.0,K,2.0
76,76,4,Beko,26.0,M,3.0
77,77,5,Dyson,25.0,bd.,2.5
78,78,6,Electrolux,50.0,bd.,3.0
79,79,6,Samsung,50.0,bd.,3.5
80,80,6,Electrolux,25.0,M,2.5
81,81,4,Beko,19.0,bd.,1.5
82,82,7,Electrolux,36.0,bd.,3.0
83,83,3,Beko,48.0,bd.,2.0
84,84,5,Electrolux,39.0,M,3.5
85,85,7,Beko,36.0,bd.,2.0
86,86,7,Electrolux,51.0,K,1.5
87,87,14,Beko,26.0,M,2.5
89,89,9,Beko,37.0,K,3.5
90,90,4,Tefal,28.0,K,2.5
91,91,3,Electrolux,46.0,K,2.0
93,93,5,Beko,32.0,K,2.5
94,94,10,Dyson,43.0,bd.,3.5
95,95,6,Electrolux,41.0,K,1.0
